,Years with Operator,,,Years in Rank,,,Years on This Type of Tanker,,,Years on All Types of Tankers,,,Years as Watch officer/Engineer,,,Date Joined,,,English Proficiency
Cepsa,Combined aggregate for Master and C/O shall not be less than 2 years (calendar).,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years (sea time).,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years (sea time).,Master + Chief Officer,6.0 years ,,,,,,,A minimum of 14 days shall lapse between replacement of the Master and C/O ,Master Joining Date - Chief Officer Joining Date,Minimum 14.0 days ,
Cepsa,Combined aggregate for C/E and 2/E shall not be less than 2 years (calendar). ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years (sea time). ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years (sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,A minimum of 14 days shall lapse between replacement of C/E and 2/E ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 14.0 days ,
Cheniere,Combined aggregate for Master and C/O shall not be less than 2 years.,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 4 years. ,Master + Chief Officer,4.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years. ,Second Officer + Third Officer,1.5 years ,,,,,,,
Cheniere,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 year ,Combined aggregate for C/E and 2/E shall not be less than 4 years. ,Chief Engineer + Second Engineer,4.0 years ,Combined aggregate for 3/E and 4/E shall not be less than 1.5 years. ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
Cheniere,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Cheniere,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 year ,,,,,,,,,,,,,
Cheniere,,,,Gas Engineer shall not be less than 1 year ,Gas Engineer,1.0 year ,,,,,,,,,,,,,
Cheniere,,,,"If less, then combination with C/O should be greater than 2 years. ",Gas Engineer + Chief Officer,2.0 years ,,,,,,,,,,,,,
Cheniere,,,,Electrical Engineer shall not be less than 1 year. ,Electrical Officer,1.0 year ,,,,,,,,,,,,,
Cheniere,,,,"If less, then combination with other engineers (3/E - 4/E - Junior) should be greater than 2 years. ",Electrical Officer + Third Engineer + Fourth Engineer,2.0 years ,,,,,,,,,,,,,
Chevron,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,The combined in-rank experience of the Master and C/O must be at least 2.5 years actual sea-time on tankers.,Master + Chief Officer,2.5 years ,Master shall not be less than 1 year experience this type of tanker (sea-service).,Master  ,1.0 years ,The sea-going experience of the Master on 'any type of tanker' should be no less than 2.5 years.,Master  ,2.5 years ,,,,,,,
Chevron,Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,The combined in-rank experience of the C/E and 2/E must be at least 2.5 years actual sea-time on tankers. ,Chief Engineer + Second Engineer,2.5 years ,C/O shall not be less than 1 year experience this type of tanker (sea-service). ,Chief Officer,1.0 years ,The sea-going experience of the C/O on 'any type of tanker' should be no less than 2.5 years. ,Chief Officer,2.5 years ,,,,,,,
Chevron,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year (sea time). ,Second Officer + Third Officer,1.0 years ,Combined aggregate of C/E and 2/E shall not be less than 2 years experience on this type of tanker (sea-service). ,Chief Engineer + Second Engineer,2.0 years ,The combined sea-going experience of the C/E and 2/E on 'any type of tanker' should be no less than 5 years. ,Chief Engineer + Second Engineer,5.0 years ,,,,,,,
Chevron,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 years (sea time). ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
Chevron,,,,Master shall have minimum of 4 months in rank ,Master  ,0.3 years ,,,,,,,,,,,,,
Chevron,,,,Chief Officer shall have mimimum 4 months in rank ,Chief Officer,0.3 years ,,,,,,,,,,,,,
Chevron,,,,Chief Engineer shall have mimimum 4 months in rank ,Chief Engineer,0.3 years ,,,,,,,,,,,,,
Chevron,,,,2nd Engineer shall have mimimum 4 months in rank ,Second Engineer,0.3 years ,,,,,,,,,,,,,
Citgo,,,,,,,,,,,,,,,,,,,
ConocoPhillips,Combined aggregate for Master and C/O shall not be less than 2 years (calendar).,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 calendar years. ,Master + Chief Officer,3.0 years ,Master shall not be less than 1 year experience this type of tanker (sea-service). ,Master,1.0 year ,Combined aggregate for Master and C/O shall not be less than 6 years (sea service).,Master + Chief Officer,6.0 years ,,,,,,,
ConocoPhillips,Combined aggregate for C/E and 2/E shall not be less than 2 years (calendar). ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,C/O shall not be less than 1 year experience this type of tanker (sea-service). ,Chief Officer,1.0 year ,Combined aggregate for C/E and 2/E shall not be less than 6 years (sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,
ConocoPhillips,,,,,,,C/E shall not be less than 1 year experience this type of tanker (sea-service). ,Chief Engineer  ,1.0 year ,,,,,,,,,,
ConocoPhillips,,,,,,,2/E shall not be less than 1 year experience this type of tanker (sea-service). ,Second Engineer,1.0 year ,,,,,,,,,,
ENEL,Combined aggregate for Master and C/O shall not be less than 4 years.,Master + Chief Officer,4.0 years ,Combined aggregate for Master and C/O shall not be less than 4 years. ,Master + Chief Officer,4.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 8 years. ,Master + Chief Officer,8.0 years ,,,,,,,
ENEL,Combined aggregate for C/E and 1/E shall not be less than 4 years. ,Chief Engineer + Second Engineer,4.0 years ,Combined aggregate for C/E and 1/E shall not be less than 4 years. ,Chief Engineer + Second Engineer,4.0 years ,,,,Combined aggregate for C/E and 1/E shall not be less than 8 years. ,Chief Engineer + Second Engineer,8.0 years ,,,,,,,
ENI,Combined aggregate for Captain and C/O shall not be less than 2 years (calendar). ,Master + Chief Officer,2.0 years ,Combined aggregate for Captain and C/O shall not be less than 4 years (sea service). ,Master + Chief Officer,4.0 years ,,,,Combined aggregate for Captain and C/O shall not be less than 8 years (sea service). ,Master + Chief Officer,8.0 years ,,,,,,,
ENI,Combined aggregate for C/E and 2/E shall not be less than 2 years (calendar). ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 4 years (sea service). ,Chief Engineer + Second Engineer,4.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 8 years (sea service). ,Chief Engineer + Second Engineer,8.0 years ,,,,,,,
Equinor,,,,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,,,,,,,,,,,,,
Equinor,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
ExxonMobil (Spot - 3 Engr),The combined experience of the Master and C/O must be at least 2 calendar years with their company.,Master + Chief Officer,2.0 years ,The combined experience of the Master and C/O must be at least 3 years (sea time) in-rank. ,Master + Chief Officer,3.0 years ,The combined experience of the Master and C/O must be at least 6 years (sea time) on this type of tanker. ,Master + Chief Officer,6.0 years ,The combined experience of the 2/O and 3/O must be at least 1.5 years (sea time) on all types of tankers. ,Second Officer + Third Officer,1.5 years ,,,,,,,
ExxonMobil (Spot - 3 Engr),The combined experience of the 2/O and 3/O must be at least 1 calendar year with their company. ,Second Officer + Third Officer,1.0 years ,"Of the 3 years combined experience, Master should have minimum 6 months (sea time) in-rank. ",Master  ,0.5 years ,The combined experience of the C/E and Junior/Assistant Engineer(s) must be at least 6 years (sea time) on this type of tanker. ,Chief Engineer + Second Engineer + Third Engineer + Fourth Engineer,6.0 years ,,,,,,,,,,
ExxonMobil (Spot - 3 Engr),The combined experience of the C/E and Junior/Assistant Engineer(s) must be at least 2 calendar years with their company. ,Chief Engineer + Second Engineer,2.0 years ,"Of the 3 years combined experience, C/O should have minimum 6 months (sea time) in-rank. ",Chief Officer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (Spot - 3 Engr),The Gas/Cargo Engineer (LNG vessel only) must have at least 0.5 calendar year with their company. ,Gas Engineer,0.5 years ,The combined experience of the 2/O and 3/O must be at least 1 year (sea time) in-rank. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (Spot - 3 Engr),,,,The combined experience of the C/E and Junior/Assistant Engineer(s) must be at least 3 years (sea time) in-rank. ,Chief Engineer + Second Engineer + Third Engineer + Fourth Engineer,3.0 years ,,,,,,,,,,,,,
ExxonMobil (Spot - 3 Engr),,,,"Of the 3 years combined experience, C/E should have minimum 6 months (sea time) in-rank. ",Chief Engineer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (Spot - 3 Engr),,,,The Gas/Cargo Engineer (LNG vessel only) must have at least 1 year (sea time) in-rank. ,Gas Engineer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (SPOT),,,,,,,,,,,,,,,,,,,
ExxonMobil (Spot),The combined experience of the Master and C/O must be at least 2 calendar years with their company.,Master + Chief Officer,2.0 years ,The combined experience of the Master and C/O must be at least 3 years (sea time) in-rank. ,Master + Chief Officer,3.0 years ,The combined experience of the Master and C/O must be at least 6 years (sea time) on this type of tanker. ,Master + Chief Officer,6.0 years ,The combined experience of the 2/O and 3/O must be at least 1.5 years (sea time) on all types of tankers. ,Second Officer + Third Officer,1.5 years ,,,,,,,
ExxonMobil (Spot),The combined experience of the 2/O and 3/O must be at least 1 calendar year with their company. ,Second Officer + Third Officer,1.0 years ,"Of the 3 years combined experience, Master should have minimum 6 months (sea time) in-rank. ",Master  ,0.5 years ,The combined experience of the C/E and 2/E must be at least 6 years (sea time) on this type of tanker.,Chief Engineer + Second Engineer,6.0 years ,The combined experience of the 3/E and 4/E must be at least 1.5 years (sea time) on all types of tankers. ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
ExxonMobil (Spot),The combined experience of the C/E and 2/E must be at least 2 calendar years with their company. ,Chief Engineer + Second Engineer,2.0 years ,"Of the 3 years combined experience, C/O should have minimum 6 months (sea time) in-rank. ",Chief Officer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (Spot),The combined experience of the 3/E and 4/E must be at least 1 calendar year with their company. ,Third Engineer + Fourth Engineer,1.0 years ,The combined experience of the 2/O and 3/O must be at least 1 year (sea time) in-rank. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (Spot),The Gas/Cargo Engineer (LNG vessel only) must have at least 0.5 calendar year with their company. ,Gas Engineer,0.5 years ,The combined experience of the C/E and 2/E must be at least 3 years (sea time) in-rank.,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
ExxonMobil (Spot),,,,"Of the 3 years combined experience, C/E should have minimum 6 months (sea time) in-rank. ",Chief Engineer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (Spot),,,,"Of the 3 years combined experience, 2/E should have minimum 6 months (sea time) in-rank",Second Engineer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (Spot),,,,The combined experience of the 3/E and 4/E must be at least 1 year (sea time) in-rank.,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (Spot),,,,The Gas/Cargo Engineer (LNG vessel only) must have at least 1 year (sea time) in-rank. ,Gas Engineer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),The combined experience of the Master and C/O must be at least 3 calendar years with their company.,Master + Chief Officer,3.0 years ,The combined experience of the Master and C/O must be at least 3 years (sea time) in-rank. ,Master + Chief Officer,3.0 years ,The combined experience of the Master and C/O must be at least 6 years (sea time) on this type of tanker. ,Master + Chief Officer,6.0 years ,The combined experience of the 2/O and 3/O must be at least 1.5 years (sea time) on all types of tankers. ,Second Officer + Third Officer,1.5 years ,,,,,,,
ExxonMobil (T/C - 3 Engr),"Of the three years combined, the Master should have a minimum of 6 months (Sea time) ",Master  ,0.5 years ,"Of the 3 years combined experience, Master should have minimum 6 months (sea time) in-rank. ",Master  ,0.5 years ,The combined experience of the C/E and Junior/Assistant Engineer(s) must be at least 6 years (sea time) on this type of tanker. ,Chief Engineer + Second Engineer + Third Engineer + Fourth Engineer,6.0 years ,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),"Of the three years combined, the C/O should have a minimum of 6 months (Sea time) ",Chief Officer,0.5 years ,"Of the 3 years combined experience, C/O should have minimum 6 months (sea time) in-rank. ",Chief Officer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),The combined experience of the 2/O and 3/O must be at least 1 calendar year with their company. ,Second Officer + Third Officer,1.0 years ,The combined experience of the 2/O and 3/O must be at least 1 year (sea time) in-rank. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),The combined experience of the C/E and Junior/Assistant Engineer(s) must be at least 3 calendar years with their company. ,Chief Engineer + Second Engineer + Third Engineer + Fourth Engineer,3.0 years ,The combined experience of the C/E and Junior/Assistant Engineer(s) must be at least 3 years (sea time) in-rank. ,Chief Engineer + Second Engineer + Third Engineer + Fourth Engineer,3.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),"Of the three years combined, the C/E should have a minimum of 6 months (Sea time) ",Chief Engineer,0.5 years ,"Of the 3 years combined experience, C/E should have minimum 6 months (sea time) in-rank. ",Chief Engineer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),"Of the three years combined, the 2/E should have a minimum of 6 months (Sea time) ",Second Engineer,0.5 years ,The Gas/Cargo Engineer (LNG vessel only) must have at least 1 year (sea time) in-rank. ,Gas Engineer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C - 3 Engr),The Gas/Cargo Engineer (LNG vessel only) must have at least 0.5 calendar year with their company. ,Gas Engineer,0.5 years ,,,,,,,,,,,,,,,,
ExxonMobil (T/C),The combined experience of the Master and C/O must be at least 3 calendar years with their company. ,Master + Chief Officer,3.0 years ,The combined experience of the Master and C/O must be at least 3 years (sea time) in-rank. ,Master + Chief Officer,3.0 years ,The combined experience of the Master and C/O must be at least 6 years (sea time) on this type of tanker. ,Master + Chief Officer,6.0 years ,The combined experience of the 2/O and 3/O must be at least 1.5 years (sea time) on all types of tankers. ,Second Officer + Third Officer,1.5 years ,,,,,,,
ExxonMobil (T/C),"Of the three years combined, the Master should have a minimum of 6 months (Sea time) ",Master  ,0.5 years ,"Of the 3 years combined experience, Master should have minimum 6 months (sea time) in-rank. ",Master  ,0.5 years ,The combined experience of the C/E and 2/E must be at least 6 years (sea time) on this type of tanker. ,Chief Engineer + Second Engineer,6.0 years ,The combined experience of the 3/E and 4/E must be at least 1.5 years (sea time) on all types of tankers. ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
ExxonMobil (T/C),"Of the three years combined, the C/O should have a minimum of 6 months (Sea time) ",Chief Officer,0.5 years ,"Of the 3 years combined experience, C/O should have minimum 6 months (sea time) in-rank. ",Chief Officer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (T/C),The combined experience of the 2/O and 3/O must be at least 1 calendar year with their company. ,Second Officer + Third Officer,1.0 years ,The combined experience of the 2/O and 3/O must be at least 1 year (sea time) in-rank. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C),The combined experience of the C/E and 2/E must be at least 3 calendar years with their company. ,Chief Engineer + Second Engineer,3.0 years ,The combined experience of the C/E and 2/E must be at least 3 years (sea time) in-rank. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C),"Of the three years combined, the C/E should have a minimum of 6 months (Sea time) ",Chief Engineer,0.5 years ,"Of the 3 years combined experience, C/E should have minimum 6 months (sea time) in-rank. ",Chief Engineer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (T/C),"Of the three years combined, the 2/E should have a minimum of 6 months (Sea time) ",Second Engineer,0.5 years ,"Of the 3 years combined experience, 2/E should have minimum 6 months (sea time) in-rank. ",Second Engineer,0.5 years ,,,,,,,,,,,,,
ExxonMobil (T/C),The combined experience of the 3/E and 4/E must be at least 1 calendar year with their company. ,Third Engineer + Fourth Engineer,1.0 years ,The combined experience of the 3/E and 4/E must be at least 1 year (sea time) in-rank. ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
ExxonMobil (T/C),The Gas/Cargo Engineer (LNG vessel only) must have at least 0.5 calendar year with their company. ,Gas Engineer,0.5 years ,The Gas/Cargo Engineer (LNG vessel only) must have at least 1 year (sea time) in-rank. ,Gas Engineer,1.0 years ,,,,,,,,,,,,,
Gazprom,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,,,,The overall experience (sea service) on tankers not shall not be less than 5 years for Master.,Master,5.0 years ,,,,,,,
Gazprom,Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,,,,The overall experience (sea service) on tankers not shall not be less than 3 years for C/O ,Chief Officer,3.0 years ,,,,,,,
Gazprom,Combined aggregate for 2/O and 3/O shall not be less than 1 calendar year. ,Second Officer + Third Officer,1.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year(sea time). ,Second Officer + Third Officer,1.0 years ,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year(sea time). ,Second Officer + Third Officer,1.0 years ,,,,,,,
Gazprom,Combined aggregate for 3/E and 4/E shall not be less than 1 calendar year. ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for 3/E and 4/E shall not be less than 1 year(sea time). ,Third Engineer + Fourth Engineer,1.0 years ,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year(sea time). ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,
Hoegh LNG,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 4 years.,Master + Chief Officer,4.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years. ,Master + Chief Officer,6.0 years ,,,,,,,
Hoegh LNG,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,Combined aggregate for C/E and 2/E shall not be less than 4 years. ,Chief Engineer + Second Engineer,4.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years. ,Second Officer + Third Officer,1.5 years ,,,,,,,
Hoegh LNG,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 6 years. ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,
